,harmonised_code,harmonised_name,nuts_3_code,nuts_3_name,nuts_2_code,nuts_2_name,nuts_1_code,nuts_1_name
0,KSH_01508,Ipolyszög,HU313,Nógrád,HU31,Észak-Magyarország,HU3,Alföld és Észak
1,KSH_01526,Somoskőújfalu,HU313,Nógrád,HU31,Észak-Magyarország,HU3,Alföld és Észak
2,KSH_02015,Ráckeresztúr,HU211,Fejér,HU21,Közép-Dunántúl,HU2,Dunántúl
3,KSH_02024,Martonyi,HU311,Borsod-Abaúj-Zemplén,HU31,Észak-Magyarország,HU3,Alföld és Észak
4,KSH_02033,Kakasd,HU233,Tolna,HU23,Dél-Dunántúl,HU2,Dunántúl
5,KSH_02042,Narda,HU222,Vas,HU22,Nyugat-Dunántúl,HU2,Dunántúl
6,KSH_02051,Sávoly,HU232,Somogy,HU23,Dél-Dunántúl,HU2,Dunántúl
7,KSH_02060,Gönyű,HU221,Győr-Moson-Sopron,HU22,Nyugat-Dunántúl,HU2,Dunántúl
8,KSH_02079,Dunaremete,HU221,Győr-Moson-Sopron,HU22,Nyugat-Dunántúl,HU2,Dunántúl
9,KSH_02088,Mánd,HU323,Szabolcs-Szatmár-Bereg,HU32,Észak-Alföld,HU3,Alföld és Észak
10,KSH_02097,Gutorfölde,HU223,Zala,HU22,Nyugat-Dunántúl,HU2,Dunántúl
11,KSH_02103,Maróc,HU223,Zala,HU22,Nyugat-Dunántúl,HU2,Dunántúl
12,KSH_02121,Csanádalberti,HU333,Csongrád-Csanád,HU33,Dél-Alföld,HU3,Alföld és Észak
13,KSH_02130,Mihályfa,HU223,Zala,HU22,Nyugat-Dunántúl,HU2,Dunántúl
14,KSH_02149,Foktő,HU331,Bács-Kiskun,HU33,Dél-Alföld,HU3,Alföld és Észak
15,KSH_02158,Muhi,HU311,Borsod-Abaúj-Zemplén,HU31,Észak-Magyarország,HU3,Alföld és Észak
16,KSH_02167,Komádi,HU321,Hajdú-Bihar,HU32,Észak-Alföld,HU3,Alföld és Észak
17,KSH_02185,Csopak,HU213,Veszprém,HU21,Közép-Dunántúl,HU2,Dunántúl
18,KSH_02194,Nemesvámos,HU213,Veszprém,HU21,Közép-Dunántúl,HU2,Dunántúl
19,KSH_02200,Isztimér,HU211,Fejér,HU21,Közép-Dunántúl,HU2,Dunántúl
20,KSH_02219,Balatonfűzfő,HU213,Veszprém,HU21,Közép-Dunántúl,HU2,Dunántúl
21,KSH_02228,Martonfa,HU231,Baranya,HU23,Dél-Dunántúl,HU2,Dunántúl
22,KSH_02237,Vág,HU221,Győr-Moson-Sopron,HU22,Nyugat-Dunántúl,HU2,Dunántúl
23,KSH_02246,Vát,HU222,Vas,HU22,Nyugat-Dunántúl,HU2,Dunántúl
24,KSH_02264,Vásárosdombó,HU231,Baranya,HU23,Dél-Dunántúl,HU2,Dunántúl
25,KSH_02273,Abaújvár,HU311,Borsod-Abaúj-Zemplén,HU31,Észak-Magyarország,HU3,Alföld és Észak
26,KSH_02282,Hejőkürt,HU311,Borsod-Abaúj-Zemplén,HU31,Észak-Magyarország,HU3,Alföld és Észak
27,KSH_02291,Tiszabábolna,HU311,Borsod-Abaúj-Zemplén,HU31,Észak-Magyarország,HU3,Alföld és Észak
28,KSH_02307,Kaba,HU321,Hajdú-Bihar,HU32,Észak-Alföld,HU3,Alföld és Észak
29,KSH_02316,Etyek,HU211,Fejér,HU21,Közép-Dunántúl,HU2,Dunántúl
30,KSH_02325,Baktalórántháza,HU323,Szabolcs-Szatmár-Bereg,HU32,Észak-Alföld,HU3,Alföld és Észak
31,KSH_02343,Kincsesbánya,HU211,Fejér,HU21,Közép-Dunántúl,HU2,Dunántúl
32,KSH_02352,Újkígyós,HU332,Békés,HU33,Dél-Alföld,HU3,Alföld és Észak
33,KSH_02361,Nagybajcs,HU221,Győr-Moson-Sopron,HU22,Nyugat-Dunántúl,HU2,Dunántúl
34,KSH_02370,Rád,HU120,Pest,HU12,Pest,HU1,Közép-Magyarország
35,KSH_02389,Bercel,HU313,Nógrád,HU31,Észak-Magyarország,HU3,Alföld és Észak
36,KSH_02404,Surd,HU223,Zala,HU22,Nyugat-Dunántúl,HU2,Dunántúl
37,KSH_02413,Kisbabot,HU221,Győr-Moson-Sopron,HU22,Nyugat-Dunántúl,HU2,Dunántúl
38,KSH_02422,Hegyesd,HU213,Veszprém,HU21,Közép-Dunántúl,HU2,Dunántúl
39,KSH_02431,Bük,HU222,Vas,HU22,Nyugat-Dunántúl,HU2,Dunántúl
40,KSH_02440,Szatta,HU222,Vas,HU22,Nyugat-Dunántúl,HU2,Dunántúl
41,KSH_02459,Vajta,HU211,Fejér,HU21,Közép-Dunántúl,HU2,Dunántúl
42,KSH_02468,Hegymeg,HU311,Borsod-Abaúj-Zemplén,HU31,Észak-Magyarország,HU3,Alföld és Észak
43,KSH_02477,Csombárd,HU232,Somogy,HU23,Dél-Dunántúl,HU2,Dunántúl
44,KSH_02486,Zalacséb,HU223,Zala,HU22,Nyugat-Dunántúl,HU2,Dunántúl
45,KSH_02495,Nagycenk,HU221,Győr-Moson-Sopron,HU22,Nyugat-Dunántúl,HU2,Dunántúl
46,KSH_02501,Kisunyom,HU222,Vas,HU22,Nyugat-Dunántúl,HU2,Dunántúl
47,KSH_02510,Kocs,HU212,Komárom-Esztergom,HU21,Közép-Dunántúl,HU2,Dunántúl
48,KSH_02529,Várfölde,HU223,Zala,HU22,Nyugat-Dunántúl,HU2,Dunántúl
49,KSH_02547,Sumony,HU231,Baranya,HU23,Dél-Dunántúl,HU2,Dunántúl
50,KSH_02556,Mórichida,HU221,Győr-Moson-Sopron,HU22,Nyugat-Dunántúl,HU2,Dunántúl
51,KSH_02565,Döbrököz,HU233,Tolna,HU23,Dél-Dunántúl,HU2,Dunántúl
52,KSH_02574,Kenéz,HU222,Vas,HU22,Nyugat-Dunántúl,HU2,Dunántúl
53,KSH_02583,Csesztreg,HU223,Zala,HU22,Nyugat-Dunántúl,HU2,Dunántúl
54,KSH_02608,Zalaszentiván,HU223,Zala,HU22,Nyugat-Dunántúl,HU2,Dunántúl
55,KSH_02617,Sopronnémeti,HU221,Győr-Moson-Sopron,HU22,Nyugat-Dunántúl,HU2,Dunántúl
56,KSH_02626,Martfű,HU322,Jász-Nagykun-Szolnok,HU32,Észak-Alföld,HU3,Alföld és Észak
57,KSH_02635,Öttevény,HU221,Győr-Moson-Sopron,HU22,Nyugat-Dunántúl,HU2,Dunántúl
58,KSH_02644,Alibánfa,HU223,Zala,HU22,Nyugat-Dunántúl,HU2,Dunántúl
59,KSH_02653,Nagyharsány,HU231,Baranya,HU23,Dél-Dunántúl,HU2,Dunántúl
60,KSH_02662,Milejszeg,HU223,Zala,HU22,Nyugat-Dunántúl,HU2,Dunántúl
61,KSH_02671,Kántorjánosi,HU323,Szabolcs-Szatmár-Bereg,HU32,Észak-Alföld,HU3,Alföld és Észak
62,KSH_02680,Békésszentandrás,HU332,Békés,HU33,Dél-Alföld,HU3,Alföld és Észak
63,KSH_02699,Sárkeszi,HU211,Fejér,HU21,Közép-Dunántúl,HU2,Dunántúl
64,KSH_02705,Pálmonostora,HU331,Bács-Kiskun,HU33,Dél-Alföld,HU3,Alföld és Észak
65,KSH_02714,Tótvázsony,HU213,Veszprém,HU21,Közép-Dunántúl,HU2,Dunántúl
66,KSH_02723,Sáregres,HU211,Fejér,HU21,Közép-Dunántúl,HU2,Dunántúl
67,KSH_02741,Fáj,HU311,Borsod-Abaúj-Zemplén,HU31,Észak-Magyarország,HU3,Alföld és Észak
68,KSH_02750,Vértesacsa,HU211,Fejér,HU21,Közép-Dunántúl,HU2,Dunántúl
69,KSH_02769,Tápiószőlős,HU120,Pest,HU12,Pest,HU1,Közép-Magyarország
70,KSH_02778,Ludányhalászi,HU313,Nógrád,HU31,Észak-Magyarország,HU3,Alföld és Észak
71,KSH_02787,Nemesgulács,HU213,Veszprém,HU21,Közép-Dunántúl,HU2,Dunántúl
72,KSH_02796,Nak,HU233,Tolna,HU23,Dél-Dunántúl,HU2,Dunántúl
73,KSH_02802,Enying,HU211,Fejér,HU21,Közép-Dunántúl,HU2,Dunántúl
74,KSH_02811,Miszla,HU233,Tolna,HU23,Dél-Dunántúl,HU2,Dunántúl
75,KSH_02820,Abaújlak,HU311,Borsod-Abaúj-Zemplén,HU31,Észak-Magyarország,HU3,Alföld és Észak
76,KSH_02839,Nemeskocs,HU222,Vas,HU22,Nyugat-Dunántúl,HU2,Dunántúl
77,KSH_02848,Felsőzsolca,HU311,Borsod-Abaúj-Zemplén,HU31,Észak-Magyarország,HU3,Alföld és Észak
78,KSH_02857,Geresdlak,HU231,Baranya,HU23,Dél-Dunántúl,HU2,Dunántúl
79,KSH_02866,Oszlár,HU311,Borsod-Abaúj-Zemplén,HU31,Észak-Magyarország,HU3,Alföld és Észak
80,KSH_02875,Sáta,HU311,Borsod-Abaúj-Zemplén,HU31,Észak-Magyarország,HU3,Alföld és Észak
81,KSH_02884,Vasalja,HU222,Vas,HU22,Nyugat-Dunántúl,HU2,Dunántúl
82,KSH_02893,Söréd,HU211,Fejér,HU21,Közép-Dunántúl,HU2,Dunántúl
83,KSH_02909,Magyarszentmiklós,HU223,Zala,HU22,Nyugat-Dunántúl,HU2,Dunántúl
84,KSH_02918,Balmazújváros,HU321,Hajdú-Bihar,HU32,Észak-Alföld,HU3,Alföld és Észak
85,KSH_02927,Duka,HU222,Vas,HU22,Nyugat-Dunántúl,HU2,Dunántúl
86,KSH_02936,Dudar,HU213,Veszprém,HU21,Közép-Dunántúl,HU2,Dunántúl
87,KSH_02945,Biri,HU323,Szabolcs-Szatmár-Bereg,HU32,Észak-Alföld,HU3,Alföld és Észak
88,KSH_02954,Felsőszentiván,HU331,Bács-Kiskun,HU33,Dél-Alföld,HU3,Alföld és Észak
89,KSH_02963,Bükkszék,HU312,Heves,HU31,Észak-Magyarország,HU3,Alföld és Észak
90,KSH_02972,Zalasárszeg,HU223,Zala,HU22,Nyugat-Dunántúl,HU2,Dunántúl
91,KSH_02981,Egerfarmos,HU312,Heves,HU31,Észak-Magyarország,HU3,Alföld és Észak
92,KSH_02990,Bátorliget,HU323,Szabolcs-Szatmár-Bereg,HU32,Észak-Alföld,HU3,Alföld és Észak
93,KSH_03009,Szombathely,HU222,Vas,HU22,Nyugat-Dunántúl,HU2,Dunántúl
94,KSH_03018,Szebény,HU231,Baranya,HU23,Dél-Dunántúl,HU2,Dunántúl
95,KSH_03036,Döröske,HU222,Vas,HU22,Nyugat-Dunántúl,HU2,Dunántúl
96,KSH_03045,Hajdúböszörmény,HU321,Hajdú-Bihar,HU32,Észak-Alföld,HU3,Alföld és Észak
97,KSH_03054,Lickóvadamos,HU223,Zala,HU22,Nyugat-Dunántúl,HU2,Dunántúl
98,KSH_03063,Zádorfalva,HU311,Borsod-Abaúj-Zemplén,HU31,Észak-Magyarország,HU3,Alföld és Észak
99,KSH_03072,Balatoncsicsó,HU213,Veszprém,HU21,Közép-Dunántúl,HU2,Dunántúl
100,KSH_03081,Sajóhídvég,HU311,Borsod-Abaúj-Zemplén,HU31,Észak-Magyarország,HU3,Alföld és Észak
101,KSH_03090,Borgáta,HU222,Vas,HU22,Nyugat-Dunántúl,HU2,Dunántúl
102,KSH_03106,Kétsoprony,HU332,Békés,HU33,Dél-Alföld,HU3,Alföld és Észak
103,KSH_03115,Dunaújváros,HU211,Fejér,HU21,Közép-Dunántúl,HU2,Dunántúl
104,KSH_03124,Szentkozmadombja,HU223,Zala,HU22,Nyugat-Dunántúl,HU2,Dunántúl
105,KSH_03133,Taktaszada,HU311,Borsod-Abaúj-Zemplén,HU31,Észak-Magyarország,HU3,Alföld és Észak
106,KSH_03142,Vönöck,HU222,Vas,HU22,Nyugat-Dunántúl,HU2,Dunántúl
107,KSH_03151,Kistapolca,HU231,Baranya,HU23,Dél-Dunántúl,HU2,Dunántúl
108,KSH_03160,Szuhafő,HU311,Borsod-Abaúj-Zemplén,HU31,Észak-Magyarország,HU3,Alföld és Észak
109,KSH_03188,Iborfia,HU223,Zala,HU22,Nyugat-Dunántúl,HU2,Dunántúl
110,KSH_03197,Rábahídvég,HU222,Vas,HU22,Nyugat-Dunántúl,HU2,Dunántúl
111,KSH_03203,Nyim,HU232,Somogy,HU23,Dél-Dunántúl,HU2,Dunántúl
112,KSH_03212,Sajóivánka,HU311,Borsod-Abaúj-Zemplén,HU31,Észak-Magyarország,HU3,Alföld és Észak
113,KSH_03221,Magyarlak,HU222,Vas,HU22,Nyugat-Dunántúl,HU2,Dunántúl
114,KSH_03230,Fajsz,HU331,Bács-Kiskun,HU33,Dél-Alföld,HU3,Alföld és Észak
115,KSH_03249,Őrhalom,HU313,Nógrád,HU31,Észak-Magyarország,HU3,Alföld és Észak
116,KSH_03258,Földes,HU321,Hajdú-Bihar,HU32,Észak-Alföld,HU3,Alföld és Észak
117,KSH_03267,Badacsonytördemic,HU213,Veszprém,HU21,Közép-Dunántúl,HU2,Dunántúl
118,KSH_03276,Füzesabony,HU312,Heves,HU31,Észak-Magyarország,HU3,Alföld és Észak
119,KSH_03285,Hirics,HU231,Baranya,HU23,Dél-Dunántúl,HU2,Dunántúl
120,KSH_03294,Molnaszecsőd,HU222,Vas,HU22,Nyugat-Dunántúl,HU2,Dunántúl
121,KSH_03300,Iklad,HU120,Pest,HU12,Pest,HU1,Közép-Magyarország
122,KSH_03319,Ártánd,HU321,Hajdú-Bihar,HU32,Észak-Alföld,HU3,Alföld és Észak
123,KSH_03328,Ipolytarnóc,HU313,Nógrád,HU31,Észak-Magyarország,HU3,Alföld és Észak
124,KSH_03337,Ivánbattyán,HU231,Baranya,HU23,Dél-Dunántúl,HU2,Dunántúl
125,KSH_03346,Ivándárda,HU231,Baranya,HU23,Dél-Dunántúl,HU2,Dunántúl
126,KSH_03355,Nova,HU223,Zala,HU22,Nyugat-Dunántúl,HU2,Dunántúl
127,KSH_03364,Szilsárkány,HU221,Győr-Moson-Sopron,HU22,Nyugat-Dunántúl,HU2,Dunántúl
128,KSH_03373,Tiszapüspöki,HU322,Jász-Nagykun-Szolnok,HU32,Észak-Alföld,HU3,Alföld és Észak
129,KSH_03382,Szarvaskő,HU312,Heves,HU31,Észak-Magyarország,HU3,Alföld és Észak
130,KSH_03391,Piricse,HU323,Szabolcs-Szatmár-Bereg,HU32,Észak-Alföld,HU3,Alföld és Észak
131,KSH_03407,Budajenő,HU120,Pest,HU12,Pest,HU1,Közép-Magyarország
132,KSH_03416,Somogyszil,HU232,Somogy,HU23,Dél-Dunántúl,HU2,Dunántúl
133,KSH_03425,Bogyiszló,HU233,Tolna,HU23,Dél-Dunántúl,HU2,Dunántúl
134,KSH_03434,Lasztonya,HU223,Zala,HU22,Nyugat-Dunántúl,HU2,Dunántúl
135,KSH_03443,Mezőzombor,HU311,Borsod-Abaúj-Zemplén,HU31,Észak-Magyarország,HU3,Alföld és Észak
136,KSH_03452,Boldog,HU312,Heves,HU31,Észak-Magyarország,HU3,Alföld és Észak
137,KSH_03461,Kétegyháza,HU332,Békés,HU33,Dél-Alföld,HU3,Alföld és Észak
138,KSH_03470,Meződ,HU231,Baranya,HU23,Dél-Dunántúl,HU2,Dunántúl
139,KSH_03489,Edde,HU232,Somogy,HU23,Dél-Dunántúl,HU2,Dunántúl
140,KSH_03498,Vereb,HU211,Fejér,HU21,Közép-Dunántúl,HU2,Dunántúl
141,KSH_03504,Sajóbábony,HU311,Borsod-Abaúj-Zemplén,HU31,Észak-Magyarország,HU3,Alföld és Észak
142,KSH_03513,Visznek,HU312,Heves,HU31,Észak-Magyarország,HU3,Alföld és Észak
143,KSH_03522,Baja,HU331,Bács-Kiskun,HU33,Dél-Alföld,HU3,Alföld és Észak
144,KSH_03531,Léh,HU311,Borsod-Abaúj-Zemplén,HU31,Észak-Magyarország,HU3,Alföld és Észak
145,KSH_03540,Kökény,HU231,Baranya,HU23,Dél-Dunántúl,HU2,Dunántúl
146,KSH_03559,Balatonvilágos,HU232,Somogy,HU23,Dél-Dunántúl,HU2,Dunántúl
147,KSH_03568,Szentantalfa,HU213,Veszprém,HU21,Közép-Dunántúl,HU2,Dunántúl
148,KSH_03577,Géderlak,HU331,Bács-Kiskun,HU33,Dél-Alföld,HU3,Alföld és Észak
149,KSH_03586,Szabolcsveresmart,HU323,Szabolcs-Szatmár-Bereg,HU32,Észak-Alföld,HU3,Alföld és Észak
150,KSH_03595,Abaújszántó,HU311,Borsod-Abaúj-Zemplén,HU31,Észak-Magyarország,HU3,Alföld és Észak
151,KSH_03601,Sóly,HU213,Veszprém,HU21,Közép-Dunántúl,HU2,Dunántúl
152,KSH_03610,Malomsok,HU213,Veszprém,HU21,Közép-Dunántúl,HU2,Dunántúl
153,KSH_03629,Géberjén,HU323,Szabolcs-Szatmár-Bereg,HU32,Észak-Alföld,HU3,Alföld és Észak
154,KSH_03638,Balatonhenye,HU213,Veszprém,HU21,Közép-Dunántúl,HU2,Dunántúl
155,KSH_03647,Döge,HU323,Szabolcs-Szatmár-Bereg,HU32,Észak-Alföld,HU3,Alföld és Észak
156,KSH_03656,Bátmonostor,HU331,Bács-Kiskun,HU33,Dél-Alföld,HU3,Alföld és Észak
157,KSH_03665,Cered,HU313,Nógrád,HU31,Észak-Magyarország,HU3,Alföld és Észak
158,KSH_03674,Nemeskeresztúr,HU222,Vas,HU22,Nyugat-Dunántúl,HU2,Dunántúl
159,KSH_03683,Magyarhomorog,HU321,Hajdú-Bihar,HU32,Észak-Alföld,HU3,Alföld és Észak
160,KSH_03692,Mende,HU120,Pest,HU12,Pest,HU1,Közép-Magyarország
161,KSH_03708,Taktabáj,HU311,Borsod-Abaúj-Zemplén,HU31,Észak-Magyarország,HU3,Alföld és Észak
162,KSH_03717,Tiszadorogma,HU311,Borsod-Abaúj-Zemplén,HU31,Észak-Magyarország,HU3,Alföld és Észak
163,KSH_03726,Zebecke,HU223,Zala,HU22,Nyugat-Dunántúl,HU2,Dunántúl
164,KSH_03735,Bárdudvarnok,HU232,Somogy,HU23,Dél-Dunántúl,HU2,Dunántúl
165,KSH_03744,Gagyvendégi,HU311,Borsod-Abaúj-Zemplén,HU31,Észak-Magyarország,HU3,Alföld és Észak
166,KSH_03753,Rábcakapi,HU221,Győr-Moson-Sopron,HU22,Nyugat-Dunántúl,HU2,Dunántúl
167,KSH_03762,Kiskinizs,HU311,Borsod-Abaúj-Zemplén,HU31,Észak-Magyarország,HU3,Alföld és Észak
168,KSH_03771,Arnót,HU311,Borsod-Abaúj-Zemplén,HU31,Észak-Magyarország,HU3,Alföld és Észak
169,KSH_03780,Ócsárd,HU231,Baranya,HU23,Dél-Dunántúl,HU2,Dunántúl
170,KSH_03799,Csákány,HU232,Somogy,HU23,Dél-Dunántúl,HU2,Dunántúl
171,KSH_03805,Szakáld,HU311,Borsod-Abaúj-Zemplén,HU31,Észak-Magyarország,HU3,Alföld és Észak
172,KSH_03814,Hévíz,HU223,Zala,HU22,Nyugat-Dunántúl,HU2,Dunántúl
173,KSH_03823,Ároktő,HU311,Borsod-Abaúj-Zemplén,HU31,Észak-Magyarország,HU3,Alföld és Észak
174,KSH_03832,Keszü,HU231,Baranya,HU23,Dél-Dunántúl,HU2,Dunántúl
175,KSH_03841,Bokor,HU313,Nógrád,HU31,Észak-Magyarország,HU3,Alföld és Észak
176,KSH_03850,Tiszabercel,HU323,Szabolcs-Szatmár-Bereg,HU32,Észak-Alföld,HU3,Alföld és Észak
177,KSH_03869,Kistormás,HU233,Tolna,HU23,Dél-Dunántúl,HU2,Dunántúl
178,KSH_03878,Nyírpilis,HU323,Szabolcs-Szatmár-Bereg,HU32,Észak-Alföld,HU3,Alföld és Észak
179,KSH_03887,Szerecseny,HU221,Győr-Moson-Sopron,HU22,Nyugat-Dunántúl,HU2,Dunántúl
180,KSH_03896,Cserkút,HU231,Baranya,HU23,Dél-Dunántúl,HU2,Dunántúl
181,KSH_03902,Mád,HU311,Borsod-Abaúj-Zemplén,HU31,Észak-Magyarország,HU3,Alföld és Észak
182,KSH_03911,Csákánydoroszló,HU222,Vas,HU22,Nyugat-Dunántúl,HU2,Dunántúl
183,KSH_03939,Cigánd,HU311,Borsod-Abaúj-Zemplén,HU31,Észak-Magyarország,HU3,Alföld és Észak
184,KSH_03948,Raposka,HU213,Veszprém,HU21,Közép-Dunántúl,HU2,Dunántúl
185,KSH_03957,Viszló,HU311,Borsod-Abaúj-Zemplén,HU31,Észak-Magyarország,HU3,Alföld és Észak
186,KSH_03966,Ruzsa,HU333,Csongrád-Csanád,HU33,Dél-Alföld,HU3,Alföld és Észak
187,KSH_03975,Baksa,HU231,Baranya,HU23,Dél-Dunántúl,HU2,Dunántúl
188,KSH_03984,Nagybudmér,HU231,Baranya,HU23,Dél-Dunántúl,HU2,Dunántúl
189,KSH_03993,Héhalom,HU313,Nógrád,HU31,Észak-Magyarország,HU3,Alföld és Észak
190,KSH_04002,Zalacsány,HU223,Zala,HU22,Nyugat-Dunántúl,HU2,Dunántúl
191,KSH_04020,Himod,HU221,Győr-Moson-Sopron,HU22,Nyugat-Dunántúl,HU2,Dunántúl
192,KSH_04039,Csorna,HU221,Győr-Moson-Sopron,HU22,Nyugat-Dunántúl,HU2,Dunántúl
193,KSH_04048,Tófű,HU231,Baranya,HU23,Dél-Dunántúl,HU2,Dunántúl
194,KSH_04057,Pécel,HU120,Pest,HU12,Pest,HU1,Közép-Magyarország
195,KSH_04066,Küngös,HU213,Veszprém,HU21,Közép-Dunántúl,HU2,Dunántúl
196,KSH_04075,Ócsa,HU120,Pest,HU12,Pest,HU1,Közép-Magyarország
197,KSH_04084,Hevesvezekény,HU312,Heves,HU31,Észak-Magyarország,HU3,Alföld és Észak
198,KSH_04093,Helvécia,HU331,Bács-Kiskun,HU33,Dél-Alföld,HU3,Alföld és Észak
199,KSH_04109,Dusnok,HU331,Bács-Kiskun,HU33,Dél-Alföld,HU3,Alföld és Észak
200,KSH_04118,Hortobágy,HU321,Hajdú-Bihar,HU32,Észak-Alföld,HU3,Alföld és Észak
201,KSH_04127,Som,HU232,Somogy,HU23,Dél-Dunántúl,HU2,Dunántúl
202,KSH_04136,Töttös,HU231,Baranya,HU23,Dél-Dunántúl,HU2,Dunántúl
203,KSH_04145,Hort,HU312,Heves,HU31,Észak-Magyarország,HU3,Alföld és Észak
204,KSH_04154,Tárnok,HU120,Pest,HU12,Pest,HU1,Közép-Magyarország
205,KSH_04163,Bödeháza,HU223,Zala,HU22,Nyugat-Dunántúl,HU2,Dunántúl
206,KSH_04172,Tárnokréti,HU221,Győr-Moson-Sopron,HU22,Nyugat-Dunántúl,HU2,Dunántúl
207,KSH_04181,Perőcsény,HU120,Pest,HU12,Pest,HU1,Közép-Magyarország
208,KSH_04190,Köcsk,HU222,Vas,HU22,Nyugat-Dunántúl,HU2,Dunántúl
209,KSH_04206,Mezőgyán,HU332,Békés,HU33,Dél-Alföld,HU3,Alföld és Észak
210,KSH_04215,Nyomár,HU311,Borsod-Abaúj-Zemplén,HU31,Észak-Magyarország,HU3,Alföld és Észak
211,KSH_04224,Csörötnek,HU222,Vas,HU22,Nyugat-Dunántúl,HU2,Dunántúl
212,KSH_04233,Aszaló,HU311,Borsod-Abaúj-Zemplén,HU31,Észak-Magyarország,HU3,Alföld és Észak
213,KSH_04242,Nagykamarás,HU332,Békés,HU33,Dél-Alföld,HU3,Alföld és Észak
214,KSH_04251,Ecseg,HU313,Nógrád,HU31,Észak-Magyarország,HU3,Alföld és Észak
215,KSH_04260,Mezőtúr,HU322,Jász-Nagykun-Szolnok,HU32,Észak-Alföld,HU3,Alföld és Észak
216,KSH_04279,Kamut,HU332,Békés,HU33,Dél-Alföld,HU3,Alföld és Észak
217,KSH_04288,Kispirit,HU213,Veszprém,HU21,Közép-Dunántúl,HU2,Dunántúl
218,KSH_04297,Kacsóta,HU231,Baranya,HU23,Dél-Dunántúl,HU2,Dunántúl
219,KSH_04303,Püspökszilágy,HU120,Pest,HU12,Pest,HU1,Közép-Magyarország
220,KSH_04312,Tarpa,HU323,Szabolcs-Szatmár-Bereg,HU32,Észak-Alföld,HU3,Alföld és Észak
221,KSH_04321,Bodorfa,HU213,Veszprém,HU21,Közép-Dunántúl,HU2,Dunántúl
222,KSH_04330,Mátraszőlős,HU313,Nógrád,HU31,Észak-Magyarország,HU3,Alföld és Észak
223,KSH_04349,Mórahalom,HU333,Csongrád-Csanád,HU33,Dél-Alföld,HU3,Alföld és Észak
224,KSH_04358,Nógrád,HU313,Nógrád,HU31,Észak-Magyarország,HU3,Alföld és Észak
225,KSH_04367,Bogyoszló,HU221,Győr-Moson-Sopron,HU22,Nyugat-Dunántúl,HU2,Dunántúl
226,KSH_04376,Lázi,HU221,Győr-Moson-Sopron,HU22,Nyugat-Dunántúl,HU2,Dunántúl
227,KSH_04385,Magyartelek,HU231,Baranya,HU23,Dél-Dunántúl,HU2,Dunántúl
228,KSH_04394,Makád,HU120,Pest,HU12,Pest,HU1,Közép-Magyarország
229,KSH_04400,Bekölce,HU312,Heves,HU31,Észak-Magyarország,HU3,Alföld és Észak
230,KSH_04419,Nyésta,HU311,Borsod-Abaúj-Zemplén,HU31,Észak-Magyarország,HU3,Alföld és Észak
231,KSH_04428,Ács,HU212,Komárom-Esztergom,HU21,Közép-Dunántúl,HU2,Dunántúl
232,KSH_04437,Udvar,HU231,Baranya,HU23,Dél-Dunántúl,HU2,Dunántúl
233,KSH_04446,Tiszakerecseny,HU323,Szabolcs-Szatmár-Bereg,HU32,Észak-Alföld,HU3,Alföld és Észak
234,KSH_04455,Nagylengyel,HU223,Zala,HU22,Nyugat-Dunántúl,HU2,Dunántúl
235,KSH_04464,Szakály,HU233,Tolna,HU23,Dél-Dunántúl,HU2,Dunántúl
236,KSH_04473,Kányavár,HU223,Zala,HU22,Nyugat-Dunántúl,HU2,Dunántúl
237,KSH_04482,Oroszló,HU231,Baranya,HU23,Dél-Dunántúl,HU2,Dunántúl
238,KSH_04491,Sényő,HU323,Szabolcs-Szatmár-Bereg,HU32,Észak-Alföld,HU3,Alföld és Észak
239,KSH_04507,Szendehely,HU313,Nógrád,HU31,Észak-Magyarország,HU3,Alföld és Észak
240,KSH_04516,Rózsafa,HU231,Baranya,HU23,Dél-Dunántúl,HU2,Dunántúl
241,KSH_04525,Kecskéd,HU212,Komárom-Esztergom,HU21,Közép-Dunántúl,HU2,Dunántúl
242,KSH_04534,Mindszentkálla,HU213,Veszprém,HU21,Közép-Dunántúl,HU2,Dunántúl
243,KSH_04543,Feked,HU231,Baranya,HU23,Dél-Dunántúl,HU2,Dunántúl
244,KSH_04552,Litér,HU213,Veszprém,HU21,Közép-Dunántúl,HU2,Dunántúl
245,KSH_04561,Ábrahámhegy,HU213,Veszprém,HU21,Közép-Dunántúl,HU2,Dunántúl
246,KSH_04570,Márianosztra,HU120,Pest,HU12,Pest,HU1,Közép-Magyarország
247,KSH_04589,Veszkény,HU221,Győr-Moson-Sopron,HU22,Nyugat-Dunántúl,HU2,Dunántúl
248,KSH_04598,Kereki,HU232,Somogy,HU23,Dél-Dunántúl,HU2,Dunántúl
249,KSH_04604,Hejőkeresztúr,HU311,Borsod-Abaúj-Zemplén,HU31,Észak-Magyarország,HU3,Alföld és Észak
250,KSH_04613,Gelénes,HU323,Szabolcs-Szatmár-Bereg,HU32,Észak-Alföld,HU3,Alföld és Észak
251,KSH_04622,Zsira,HU221,Győr-Moson-Sopron,HU22,Nyugat-Dunántúl,HU2,Dunántúl
252,KSH_04631,Tüskevár,HU213,Veszprém,HU21,Közép-Dunántúl,HU2,Dunántúl
253,KSH_04640,Kám,HU222,Vas,HU22,Nyugat-Dunántúl,HU2,Dunántúl
254,KSH_04659,Martonvásár,HU211,Fejér,HU21,Közép-Dunántúl,HU2,Dunántúl
